44.851016	1.015320	8.488245
6.873457	41.198875	7.494674
2.587403	30.477973	44.302955
6.938865	17.496501	44.686765
7.054513	2.194277	23.219718
3.414984	29.633397	0.512712
8.795727	1.781764	23.105835
8.237133	2.495007	22.577557
5.952473	41.215083	8.898163
2.974930	29.653033	44.540395
5.939339	41.465122	7.305744
3.909442	25.982366	24.621829
4.157138	25.026048	24.805078
9.258607	30.403783	11.384298
3.406871	25.272046	24.274725
14.133816	29.048684	33.231535
7.365728	2.803149	22.529988
7.863968	17.704247	44.284041
7.459099	17.079946	43.659586
3.352852	25.373736	25.373514
3.007388	26.165278	24.825051
13.345333	30.008966	31.694635
2.639657	24.716458	25.502306
9.386063	35.556941	23.521014
6.542514	42.022301	7.808487
3.607565	30.348813	44.508188
3.871207	29.374768	44.729130
7.070429	1.699852	22.422274
2.465585	25.090595	24.630877
7.677282	1.078000	21.937363
9.346908	36.487366	23.154076
3.257268	29.915432	43.651545
7.985198	2.220297	23.527774
7.682465	2.189434	21.814443
43.642617	1.454827	10.268109
7.429572	41.816149	8.006734
3.916198	30.537481	0.456722
5.725399	41.783317	8.209477
3.277769	24.459614	24.730941
7.436939	16.621734	44.486580
7.959037	1.532501	22.733941
29.404750	18.639980	17.139036
8.489780	1.734388	21.862493
6.822998	41.122780	8.564711
2.440622	29.530749	0.299044
8.424749	30.756290	10.962044
2.924407	30.504147	0.199661
29.660483	19.737612	17.041223
5.971964	40.796690	7.973974
6.587362	16.794669	44.001747
